city_id,planning_region,administrative_region,governorate,city
1,Central,Riyadh,Riyadh,Riyadh City
2,Central,Riyadh,Riyadh,Al Ha'ir
3,Central,Riyadh,Riyadh,Banban
4,Central,Riyadh,Riyadh,Al Uyaynah
5,Central,Riyadh,Diriyah,Diriyah
6,Central,Riyadh,Diriyah,Al Jubailah
7,Central,Riyadh,Diriyah,Al Ammariah
8,Central,Riyadh,Diriyah,Sultanah
9,Central,Riyadh,Al Kharj,Al Saih
10,Central,Riyadh,Al Kharj,Al Hayathim
11,Central,Riyadh,Al Kharj,Al Yamamah
12,Central,Riyadh,Al Dilam,Al Dilam
13,Central,Riyadh,Al Dilam,Al Dhabiah
14,Central,Riyadh,Al Dilam,Na'jan
15,Central,Riyadh,Al Dawadmi,Al Dawadmi
16,Central,Riyadh,Al Dawadmi,Al Bijadiyah
17,Central,Riyadh,Al Dawadmi,Nifi
18,Central,Riyadh,Al Dawadmi,Sajer
19,Central,Riyadh,Al Dawadmi,Al Jamsh
20,Central,Riyadh,Al Majma'ah,Al Majma'ah
21,Central,Riyadh,Al Majma'ah,Haramah
22,Central,Riyadh,Al Majma'ah,Jalajil
23,Central,Riyadh,Al Majma'ah,Al Artawiyah
24,Central,Riyadh,Al Majma'ah,Tamir
25,Central,Riyadh,Al Majma'ah,Hawtat Sudair
26,Central,Riyadh,Al Majma'ah,Rawdat Sudair
27,Central,Riyadh,Al Zulfi,Al Zulfi
28,Central,Riyadh,Al Zulfi,Al Rawdah
29,Central,Riyadh,Al Zulfi,Al Alaqah
30,Central,Riyadh,Shaqra,Shaqra
31,Central,Riyadh,Shaqra,Ushaiqer
32,Central,Riyadh,Shaqra,Al Qasab
33,Central,Riyadh,Hotat Bani Tamim,Hotat Bani Tamim
34,Central,Riyadh,Hotat Bani Tamim,Al Hilwah
35,Central,Riyadh,Hotat Bani Tamim,Al Quwai
36,Central,Riyadh,Afif,Afif
37,Central,Riyadh,Afif,Al Badrah
38,Central,Riyadh,Al Quway'iyah,Al Quway'iyah
39,Central,Riyadh,Al Quway'iyah,Al Ruwaidah
40,Central,Riyadh,Al Quway'iyah,Halban
41,Central,Riyadh,Wadi Ad Dawasir,Al Khamasin
42,Central,Riyadh,Wadi Ad Dawasir,Al Lidam
43,Central,Riyadh,Wadi Ad Dawasir,Al Nuwaymah
44,Central,Riyadh,Al Sulayyil,Al Sulayyil
45,Central,Riyadh,Al Sulayyil,Tamarah
46,Central,Riyadh,Al Aflaj,Layla
47,Central,Riyadh,Al Aflaj,Al Badi
48,Central,Riyadh,Al Aflaj,Al Ahmar
